event_id,timestamp,checkout_step,cart_value,device
EVT001,2026-05-20 09:15:00,PAYMENT,250.00,DESKTOP
EVT002,2026-05-20 09:22:00,SHIPPING,85.00,MOBILE
EVT003,2026-05-20 09:45:00,PAYMENT,1250.00,MOBILE
EVT004,2026-05-20 10:01:00,ADDRESS,320.00,DESKTOP
EVT005,2026-05-20 10:15:00,SHIPPING,95.00,MOBILE
EVT006,2026-05-20 10:30:00,PAYMENT,780.00,DESKTOP
EVT007,2026-05-20 11:00:00,ADDRESS,45.00,MOBILE
EVT008,2026-05-20 11:22:00,PAYMENT,1500.00,MOBILE
EVT009,2026-05-20 11:45:00,SHIPPING,220.00,DESKTOP
EVT010,2026-05-20 12:10:00,ADDRESS,90.00,DESKTOP
